selected_model,selected_calibration,selected_aggregation,confidence,coverage,n_kept,accuracy,sensitivity,specificity,precision,f1,auroc,auprc,tp,fp,tn,fn
waveform,isotonic,trimmed_mean,margin,0.5,2650,0.9852830188679246,0.0,1.0,0.0,0.0,0.5817399758418526,0.020963918691375,0,0,2611,39
waveform,isotonic,trimmed_mean,margin,0.55,2916,0.9838820301783264,0.0,1.0,0.0,0.0,0.6071690781130648,0.037258454141770994,0,0,2869,47
waveform,isotonic,trimmed_mean,margin,0.6000000000000001,3181,0.9833385727758567,0.0,1.0,0.0,0.0,0.6016955797905709,0.02441981709192342,0,0,3128,53
waveform,isotonic,trimmed_mean,margin,0.6500000000000001,3446,0.9770748694138132,0.7553648068669528,0.9931528166822284,0.8888888888888888,0.8167053364269141,0.9031703286941863,0.7365401034510638,176,22,3191,57
waveform,isotonic,trimmed_mean,margin,0.7000000000000002,3711,0.9762867151711129,0.8387978142076503,0.9913303437967115,0.9136904761904762,0.8746438746438746,0.9324270789940128,0.8147937785042086,307,29,3316,59
waveform,isotonic,trimmed_mean,margin,0.7500000000000002,3976,0.9753521126760564,0.8523002421307506,0.9896154925624474,0.9048843187660668,0.8778054862842892,0.933781011322314,0.8193688044722709,352,37,3526,61
waveform,isotonic,trimmed_mean,margin,0.8000000000000003,4241,0.9728837538316435,0.8586497890295358,0.9872577647995753,0.8945054945054945,0.876210979547901,0.9366730176225023,0.8257352715477029,407,48,3719,67
waveform,isotonic,trimmed_mean,margin,0.8500000000000003,4506,0.9700399467376831,0.8638059701492538,0.9843828715365239,0.8819047619047619,0.8727615457115928,0.9386111789916914,0.82895403783943,463,62,3908,73
waveform,isotonic,trimmed_mean,margin,0.9000000000000004,4771,0.9664640536575142,0.856175972927242,0.9820574162679426,0.8709122203098106,0.863481228668942,0.9389450206041176,0.8277487636578063,506,75,4105,85
waveform,isotonic,trimmed_mean,margin,0.9500000000000004,5036,0.9630659253375695,0.8551617873651772,0.9790289491679963,0.8578052550231839,0.8564814814814815,0.9388442108864157,0.8250675346142639,555,92,4295,94
waveform,isotonic,trimmed_mean,margin,1.0000000000000004,5301,0.9473684210526315,0.8473837209302325,0.9622805115976588,0.7701453104359313,0.8069204152249135,0.936571128610247,0.8177089487118748,583,174,4439,105
waveform,isotonic,trimmed_mean,neg_entropy,0.5,2650,0.9852830188679246,0.0,1.0,0.0,0.0,0.5817399758418526,0.020963918691375,0,0,2611,39
waveform,isotonic,trimmed_mean,neg_entropy,0.55,2916,0.9838820301783264,0.0,1.0,0.0,0.0,0.6071690781130648,0.037258454141770994,0,0,2869,47
waveform,isotonic,trimmed_mean,neg_entropy,0.6000000000000001,3181,0.9833385727758567,0.0,1.0,0.0,0.0,0.6016955797905709,0.02441981709192342,0,0,3128,53
waveform,isotonic,trimmed_mean,neg_entropy,0.6500000000000001,3446,0.9770748694138132,0.7553648068669528,0.9931528166822284,0.8888888888888888,0.8167053364269141,0.9031703286941863,0.7365401034510638,176,22,3191,57
waveform,isotonic,trimmed_mean,neg_entropy,0.7000000000000002,3711,0.9762867151711129,0.8387978142076503,0.9913303437967115,0.9136904761904762,0.8746438746438746,0.9324270789940128,0.8147937785042086,307,29,3316,59
waveform,isotonic,trimmed_mean,neg_entropy,0.7500000000000002,3976,0.9753521126760564,0.8523002421307506,0.9896154925624474,0.9048843187660668,0.8778054862842892,0.933781011322314,0.8193688044722709,352,37,3526,61
waveform,isotonic,trimmed_mean,neg_entropy,0.8000000000000003,4241,0.9728837538316435,0.8586497890295358,0.9872577647995753,0.8945054945054945,0.876210979547901,0.9366730176225023,0.8257352715477029,407,48,3719,67
waveform,isotonic,trimmed_mean,neg_entropy,0.8500000000000003,4506,0.9700399467376831,0.8638059701492538,0.9843828715365239,0.8819047619047619,0.8727615457115928,0.9386111789916914,0.82895403783943,463,62,3908,73
waveform,isotonic,trimmed_mean,neg_entropy,0.9000000000000004,4771,0.9664640536575142,0.856175972927242,0.9820574162679426,0.8709122203098106,0.863481228668942,0.9389450206041176,0.8277487636578063,506,75,4105,85
waveform,isotonic,trimmed_mean,neg_entropy,0.9500000000000004,5036,0.9630659253375695,0.8551617873651772,0.9790289491679963,0.8578052550231839,0.8564814814814815,0.9388442108864157,0.8250675346142639,555,92,4295,94
waveform,isotonic,trimmed_mean,neg_entropy,1.0000000000000004,5301,0.9473684210526315,0.8473837209302325,0.9622805115976588,0.7701453104359313,0.8069204152249135,0.936571128610247,0.8177089487118748,583,174,4439,105
waveform,isotonic,trimmed_mean,sqi_margin,0.5,2650,0.9845283018867924,0.9239543726235742,0.9912023460410557,0.9204545454545454,0.9222011385199241,0.9767745439890663,0.8870452798353105,243,21,2366,20
waveform,isotonic,trimmed_mean,sqi_margin,0.55,2916,0.9821673525377229,0.9174917491749175,0.9896670493685419,0.9114754098360656,0.9144736842105263,0.9717842622379345,0.8756693145894973,278,27,2586,25
waveform,isotonic,trimmed_mean,sqi_margin,0.6000000000000001,3181,0.9811380069160641,0.9191616766467066,0.9884088514225501,0.9029411764705882,0.9109792284866469,0.9705247040166243,0.8668311581782205,307,33,2814,27
waveform,isotonic,trimmed_mean,sqi_margin,0.6500000000000001,3446,0.9767846778874056,0.8927613941018767,0.9869834038398959,0.8927613941018767,0.8927613941018767,0.958302834773854,0.8492252132366319,333,40,3033,40
waveform,isotonic,trimmed_mean,sqi_margin,0.7000000000000002,3711,0.9752088385879817,0.8780487804878049,0.9872765828536807,0.8955223880597015,0.8866995073891626,0.9490819485595643,0.8388718612000886,360,42,3259,50
waveform,isotonic,trimmed_mean,sqi_margin,0.7500000000000002,3976,0.9730885311871227,0.8691796008869179,0.9863829787234043,0.8909090909090909,0.8799102132435466,0.9419792108946234,0.8312884539815737,392,48,3477,59
waveform,isotonic,trimmed_mean,sqi_margin,0.8000000000000003,4241,0.972412166941759,0.872,0.9858326650628174,0.8916155419222904,0.8816986855409504,0.9392068965517242,0.8299289194478028,436,53,3688,64
waveform,isotonic,trimmed_mean,sqi_margin,0.8500000000000003,4506,0.9698180204172215,0.8692449355432781,0.9835982841281857,0.8789571694599627,0.8740740740740741,0.9393227129957633,0.8303575149580793,472,65,3898,71
waveform,isotonic,trimmed_mean,sqi_margin,0.9000000000000004,4771,0.9664640536575142,0.8619528619528619,0.9813263107493416,0.8677966101694915,0.8648648648648649,0.9392351412940352,0.828341389795452,512,78,4099,82
waveform,isotonic,trimmed_mean,sqi_margin,0.9500000000000004,5036,0.9628673550436855,0.8536209553158706,0.9790289491679963,0.8575851393188855,0.8555984555984556,0.9388417522986916,0.825053811396982,554,92,4295,95
waveform,isotonic,trimmed_mean,sqi_margin,1.0000000000000004,5301,0.9473684210526315,0.8473837209302325,0.9622805115976588,0.7701453104359313,0.8069204152249135,0.936571128610247,0.8177089487118748,583,174,4439,105
waveform,isotonic,trimmed_mean,segment_agreement,0.5,2650,0.9652830188679246,0.7882736156351792,0.9884763124199744,0.8996282527881041,0.8402777777777778,0.9421959652495964,0.8329602469844047,242,27,2316,65
waveform,isotonic,trimmed_mean,segment_agreement,0.55,2916,0.9670781893004116,0.7962962962962963,0.9884259259259259,0.8958333333333334,0.8431372549019608,0.9432882277853986,0.830113576474431,258,30,2562,66
waveform,isotonic,trimmed_mean,segment_agreement,0.6000000000000001,3181,0.9676202452059101,0.8071625344352618,0.9882895670688432,0.8987730061349694,0.8505079825834543,0.9402239049635656,0.8318828131579626,293,33,2785,70
waveform,isotonic,trimmed_mean,segment_agreement,0.6500000000000001,3446,0.9686593151479976,0.8174807197943444,0.9878966306836768,0.895774647887324,0.8548387096774194,0.9399662622679795,0.8331695260863712,318,37,3020,71
waveform,isotonic,trimmed_mean,segment_agreement,0.7000000000000002,3711,0.9695499865265427,0.8242280285035629,0.988145896656535,0.8989637305699482,0.8599752168525403,0.9389981878433893,0.8334138660157552,347,39,3251,74
waveform,isotonic,trimmed_mean,segment_agreement,0.7500000000000002,3976,0.9695674044265593,0.8311688311688312,0.9877632327831531,0.8992974238875878,0.8638920134983127,0.9387983009212378,0.8321304763268075,384,43,3471,78
waveform,isotonic,trimmed_mean,segment_agreement,0.8000000000000003,4241,0.9700542324923367,0.8350100603621731,0.9879807692307693,0.9021739130434783,0.8672936259143156,0.9383440063457669,0.8336575397385259,415,45,3699,82
waveform,isotonic,trimmed_mean,segment_agreement,0.8500000000000003,4506,0.9684864624944518,0.8417132216014898,0.9856386999244142,0.888015717092338,0.864244741873805,0.9380738432347904,0.8303660537255223,452,57,3912,85
waveform,isotonic,trimmed_mean,segment_agreement,0.9000000000000004,4771,0.9670928526514357,0.8450946643717728,0.9840095465393794,0.8799283154121864,0.8621597892888498,0.9378951195165934,0.8285193445225775,491,67,4123,90
waveform,isotonic,trimmed_mean,segment_agreement,0.9500000000000004,5036,0.9630659253375695,0.8500772797527048,0.9797220323536113,0.8607198748043818,0.8553654743390358,0.9389342049799221,0.8269637792757714,550,89,4300,97
waveform,isotonic,trimmed_mean,segment_agreement,1.0000000000000004,5301,0.9473684210526315,0.8473837209302325,0.9622805115976588,0.7701453104359313,0.8069204152249135,0.936571128610247,0.8177089487118748,583,174,4439,105
